,Emotion_Affect,id,R,R2,RMSE,MAE,MSE,R2_CD,P_Value
231,Nervous,K23156,0.06218797609,0.00386734437,1.732050808,1.409090909,3,-0.01985009981,0.6884043061
232,Nervous,K23502,0.3989078763,0.1591274938,1.064581295,0.7866666667,1.133333333,0.1476086923,0.0003926385414
233,Nervous,K23503,0.2067972499,0.04276510258,1.110349815,0.8219178082,1.232876712,0.02928292093,0.07918926908
234,Nervous,K23507,-0.08083440579,0.006534201159,1.394706234,1.178082192,1.945205479,-0.007458274881,0.496604014
235,Nervous,K23508,0.1927759187,0.03716255483,1.242521488,1.052631579,1.543859649,0.01965641946,0.1508040602
236,Nervous,K23509,0.2394438791,0.05733337122,1.238584236,0.9659090909,1.534090909,0.04637213135,0.02464908466
237,Nervous,K23510,0.201195152,0.04047948919,1.220655562,0.93,1.49,0.03068846357,0.04472500393
238,Nervous,K23517,0.04908906441,0.002409736245,1.460593487,1.093333333,2.133333333,-0.01125588381,0.6757747833
239,Nervous,K23521,0.2245540808,0.05042453521,1.525296893,1.224489796,2.326530612,0.03022080191,0.1208574814
240,Nervous,K23526,0.08917111021,0.007951486896,1.38443731,1.083333333,1.916666667,-0.004146665703,0.4198799241
241,Nervous,K23529,0.1473025463,0.02169804014,1.299038106,1.0625,1.6875,0.0004306062259,0.31774416
242,Nervous,K23531,0.2919781703,0.08525125191,1.092496401,0.8709677419,1.193548387,0.05370819163,0.1109780811
243,Nervous,K23532,0.4551859451,0.2071942446,1.351882468,1.068965517,1.827586207,0.1778310685,0.01309649523
244,Nervous,K23533,0.1091070047,0.01190433847,1.099242163,0.7916666667,1.208333333,-0.002211313837,0.3615958981
245,Nervous,K23536,0.3120360557,0.09736650008,1.5,1.316666667,2.25,0.08180385353,0.01521946119
246,Nervous,K23537,0.1960194153,0.03842361118,1.242368005,0.9782608696,1.543478261,0.02773942908,0.06111583621
247,Nervous,K23540,0.1034374241,0.0106993007,1.019419289,0.7647058824,1.039215686,-0.009490509491,0.4700984315
248,Nervous,K23541,0.3422813043,0.1171564913,1.256980509,0.98,1.58,0.09876391816,0.0149714691
249,Nervous,K23548,0.2760628564,0.07621070069,1.588650221,1.349206349,2.523809524,0.06106661382,0.02852031254
250,Nervous,K23551,0.1471092298,0.0216411255,1.169045194,0.7,1.366666667,0.004772869045,0.2620121014
251,Nervous,K23552,0.5412092951,0.2929075011,1.103354569,0.7826086957,1.217391304,0.276837217,0.0001028953688
252,Nervous,K23555,0.06751083656,0.004557713053,1.41981443,1.158730159,2.015873016,-0.01176101296,0.5990822905
253,Nervous,K23556,0.1145503552,0.01312178388,1.815846166,1.567567568,3.297297297,-0.01507473658,0.4996155265
254,Nervous,K23557,0.08898139565,0.007917688772,1.30045241,1.014705882,1.691176471,-0.007113861398,0.470547322
255,Nervous,K23559,0.4206746882,0.1769671933,1.281739889,0.9693877551,1.642857143,0.1683939349,1.61E-05
256,Nervous,K23563,0.08340464985,0.006956335616,1.192569588,0.9333333333,1.422222222,-0.01613770309,0.585958714
257,Nervous,K23565,0.2550167498,0.06503354268,1.283025271,1.061538462,1.646153846,0.05019280526,0.0403498699
258,Nervous,KTFG534,0.3931482686,0.1545655611,1.259200375,0.9369369369,1.585585586,0.1468092819,1.97E-05
259,Nervous,KTGF118,0.3824444135,0.1462637294,1.315191898,1.081081081,1.72972973,0.1344062812,0.0007718117902
260,Nervous,KTGF119,NA,NA,0.7071067812,0.4090909091,0.5,NA,NA
261,Nervous,KTGF120,0.1301900506,0.01694944927,1.158648244,0.9863013699,1.342465753,0.003103666867,0.2722805978
262,Nervous,KTGF122,0.1499028797,0.02247087333,1.092328622,0.8295454545,1.193181818,0.01110425558,0.1633183055
263,Nervous,KTGF124,0.2618934671,0.06858818812,1.114172029,0.8620689655,1.24137931,0.05195583434,0.04704287556
264,Nervous,KTGF125,0.3339956685,0.1115531066,1.402509525,1.153846154,1.967032967,0.1015705572,0.001214229606
265,Nervous,KTGF126,0.07271164197,0.005286982878,1.229174343,0.9456521739,1.510869565,-0.005765383979,0.4909475876
266,Nervous,KTGF127,0.03389538403,0.001148897059,1.108409414,0.8285714286,1.228571429,-0.02911931818,0.8467236124
267,Nervous,KTGF129,0.2596481469,0.06741716017,1.5,1.25,2.25,0.05749606613,0.01062882411
268,Nervous,KTGF130,-0.1787708141,0.03195900397,1.338531534,1.069444444,1.791666667,0.01812984689,0.1329667752
269,Nervous,KTGF136,-0.2101212039,0.04415092032,1.332482722,1.163265306,1.775510204,0.02381370586,0.1473063474
270,Nervous,KTGF138,NA,NA,1.137592918,0.8235294118,1.294117647,NA,NA
271,Nervous,KTGF142,0.06612124528,0.004372019078,1.53741223,1.272727273,2.363636364,-0.02774501256,0.7146693752
272,Nervous,KTGF143,0.04851782865,0.002353979697,1.615893286,1.361111111,2.611111111,-0.01189810631,0.6856827577
273,Nervous,KTGF146,0.1499309369,0.02247928584,1.243852809,0.8301886792,1.547169811,0.003312213009,0.2839188228
274,Nervous,KTGF147,-0.00724694764,5.25E-05,1.357241785,1.131578947,1.842105263,-0.01346028556,0.9504583756
275,Nervous,KTGF148,0.1883002994,0.03545700277,1.210514987,1.00990099,1.465346535,0.02571414421,0.05932927622
276,Nervous,KTGF150,0.09946551515,0.009893388704,1.663687814,1.446428571,2.767857143,-0.008441918913,0.4657842898
277,Nervous,KTGF153,0.2473088844,0.06116168431,1.410601261,1.153061224,1.989795918,0.05138211853,0.01408510867
278,Nervous,KTGF154,0.3552524578,0.1262043088,1.564307778,1.388235294,2.447058824,0.1156766499,0.0008490002598
279,Nervous,KTGF156,0.4590392508,0.2107170337,1.421560176,1.208333333,2.020833333,0.2023204064,2.55E-06
280,Nervous,KTGF157,0.03575726719,0.001278582157,1.561657936,1.173469388,2.43877551,-0.009124765945,0.7266772316
281,Nervous,KTGF158,0.2070678235,0.04287708353,1.305459824,1,1.704225352,0.02900573691,0.08315837325
282,Nervous,KTGF527,0.3404233929,0.1158880864,1.2344268,0.9285714286,1.523809524,0.1051062338,0.001532347308
283,Nervous,KTGF528,-0.01900265983,0.0003611010805,1.423250163,1.102564103,2.025641026,-0.02665616646,0.9085871781
284,Nervous,KTGF533,0.2107688919,0.0444235258,1.574966501,1.233766234,2.480519481,0.03168250614,0.06577309593
285,Nervous,KTGF540,0.3007104237,0.09042675894,1.166666667,0.9166666667,1.361111111,0.06367460479,0.07473434679
286,Nervous,KTGF544,0.04238612056,0.001796583216,1.421560176,1.145833333,2.020833333,-0.008822602069,0.6817754029
287,Nervous,KTGF545,0.1981043004,0.03924531384,1.809696107,1.45,3.275,0.02692794607,0.0781512967
