"X","Variable","Importance","Participant"
"K23521.18","Adverbs",0.01459049,"K23521"
"K23526.18","Adverbs",0.00776727,"K23526"
"K23529.19","Adverbs",0.014127146,"K23529"
"K23531.18","Adverbs",0.001775054,"K23531"
"K23532.21","Adverbs",0.005740207,"K23532"
"K23533.19","Adverbs",0.003194407,"K23533"
"K23536.18","Adverbs",0.000416667,"K23536"
"K23537.19","Adverbs",0.002186609,"K23537"
"K23540.19","Adverbs",0.007547725,"K23540"
"K23541.19","Adverbs",0.0614758,"K23541"
"K23548.19","Adverbs",0.009013069,"K23548"
"K23551.16","Adverbs",0.001820497,"K23551"
"K23552.19","Adverbs",0.004226464,"K23552"
"K23555.19","Adverbs",0.009113968,"K23555"
"K23556.19","Adverbs",0.003103063,"K23556"
"K23557.19","Adverbs",0.015016569,"K23557"
"K23559.16","Adverbs",0.021898102,"K23559"
"K23563.19","Adverbs",0.001110519,"K23563"
"K23565.19","Adverbs",0.0016512,"K23565"
"KTFG534.18","Adverbs",0.008262197,"KTFG534"
"KTGF118.19","Adverbs",0.00200182,"KTGF118"
"KTGF120.19","Adverbs",0.006007096,"KTGF120"
"KTGF122.19","Adverbs",0.01267172,"KTGF122"
"KTGF124.19","Adverbs",0.007440742,"KTGF124"
"KTGF125.19","Adverbs",0.001264549,"KTGF125"
"KTGF127.17","Adverbs",0.014705581,"KTGF127"
"KTGF130.18","Adverbs",0.005253111,"KTGF130"
"KTGF142.20","Adverbs",0.008614141,"KTGF142"
"KTGF143.19","Adverbs",0.00187837,"KTGF143"
"KTGF146.17","Adverbs",0.001631283,"KTGF146"
"KTGF147.18","Adverbs",0.002352868,"KTGF147"
"KTGF148.19","Adverbs",0.001661538,"KTGF148"
"KTGF153.19","Adverbs",0.001408041,"KTGF153"
"KTGF154.18","Adverbs",0.002667929,"KTGF154"
"KTGF156.19","Adverbs",0.002221097,"KTGF156"
"KTGF157.18","Adverbs",0.012050567,"KTGF157"
"KTGF158.20","Adverbs",0.001192704,"KTGF158"
"KTGF527.22","Adverbs",0.002315841,"KTGF527"
"KTGF528.19","Adverbs",0.003935385,"KTGF528"
"KTGF533.19","Adverbs",0.014145351,"KTGF533"
"KTGF540.20","Adverbs",0.002908889,"KTGF540"
"KTGF544.20","Adverbs",0.003051188,"KTGF544"
"KTGF545.19","Adverbs",0.002283433,"KTGF545"
"KTGF549.22","Adverbs",0.003399315,"KTGF549"
"KTGF550.18","Adverbs",0.001311957,"KTGF550"
"KTGF553.17","Adverbs",0.012001226,"KTGF553"
"KTGF556.19","Adverbs",0.117184729,"KTGF556"
"KTGF557.19","Adverbs",0.012877342,"KTGF557"
"KTGF561.18","Adverbs",0.005455317,"KTGF561"
"KTGF562.16","Adverbs",0.010426126,"KTGF562"
"KTGF565.19","Adverbs",0.008820026,"KTGF565"
"K23101.30","Affect",0.001389393,"K23101"
