,Variable,Importance,Participant,NLP
KTGF142,Affect,0.000707879,KTGF142,LIWC
KTGF143,Affect,0,KTGF143,LIWC
KTGF146,Affect,0.003859962,KTGF146,LIWC
KTGF147,Affect,0.000207368,KTGF147,LIWC
KTGF154,Affect,0.004644353,KTGF154,LIWC
KTGF156,Affect,0.000227917,KTGF156,LIWC
KTGF157,Affect,0.002685408,KTGF157,LIWC
KTGF158,Affect,2.86E-21,KTGF158,LIWC
KTGF527,Affect,0.005583421,KTGF527,LIWC
KTGF528,Affect,0.006882615,KTGF528,LIWC
KTGF533,Affect,0.004425593,KTGF533,LIWC
KTGF540,Affect,0.00031,KTGF540,LIWC
KTGF544,Affect,0.003825674,KTGF544,LIWC
KTGF545,Affect,0.005591373,KTGF545,LIWC
KTGF549,Affect,0.002485778,KTGF549,LIWC
KTGF550,Affect,0.005485484,KTGF550,LIWC
KTGF553,Affect,0.004515262,KTGF553,LIWC
KTGF556,Affect,0.002094771,KTGF556,LIWC
KTGF557,Affect,0.012595548,KTGF557,LIWC
KTGF561,Affect,0.001276197,KTGF561,LIWC
KTGF562,Affect,0.011184126,KTGF562,LIWC
KTGF565,Affect,0.003815942,KTGF565,LIWC
KTGF570,Affect,0.002321542,KTGF570,LIWC
KTGF572,Affect,0.012054506,KTGF572,LIWC
K23101,Affiliation,0.006248752,K23101,LIWC
K23106,Affiliation,1.84E-20,K23106,LIWC
K23109,Affiliation,0.001623807,K23109,LIWC
K23114,Affiliation,0.001962162,K23114,LIWC
K23115,Affiliation,0.00334853,K23115,LIWC
K23117,Affiliation,0.007192459,K23117,LIWC
K23120,Affiliation,0.001119175,K23120,LIWC
K23121,Affiliation,0.001053481,K23121,LIWC
K23125,Affiliation,0.002349635,K23125,LIWC
K23126,Affiliation,0.003713571,K23126,LIWC
K23128,Affiliation,0.004045057,K23128,LIWC
K23129,Affiliation,0.001589333,K23129,LIWC
K23133,Affiliation,0.003166861,K23133,LIWC
K23134,Affiliation,1.76E-05,K23134,LIWC
K23144,Affiliation,0.005745233,K23144,LIWC
K23145,Affiliation,0.001498027,K23145,LIWC
K23148,Affiliation,0.003452412,K23148,LIWC
K23150,Affiliation,0.006216441,K23150,LIWC
K23151,Affiliation,0.003167453,K23151,LIWC
K23153,Affiliation,0.004890556,K23153,LIWC
K23155,Affiliation,0.002361783,K23155,LIWC
K23503,Affiliation,0.010962245,K23503,LIWC
K23508,Affiliation,0.006036679,K23508,LIWC
K23509,Affiliation,0.004008985,K23509,LIWC
K23510,Affiliation,0.000756867,K23510,LIWC
K23517,Affiliation,0.003799727,K23517,LIWC
K23521,Affiliation,0.004197252,K23521,LIWC
K23526,Affiliation,0.002079556,K23526,LIWC
K23529,Affiliation,0.010051222,K23529,LIWC
K23531,Affiliation,2.12E-22,K23531,LIWC
K23532,Affiliation,0.001483172,K23532,LIWC
K23533,Affiliation,0.002874352,K23533,LIWC
K23537,Affiliation,0.006740065,K23537,LIWC
K23540,Affiliation,0.012800131,K23540,LIWC
K23541,Affiliation,0.0004272,K23541,LIWC
K23548,Affiliation,0.012849926,K23548,LIWC
K23551,Affiliation,0.019263465,K23551,LIWC
K23552,Affiliation,0.00280913,K23552,LIWC
K23555,Affiliation,0.003855079,K23555,LIWC
K23556,Affiliation,0.000679604,K23556,LIWC
K23557,Affiliation,0.004662392,K23557,LIWC
K23559,Affiliation,0.000316735,K23559,LIWC
K23563,Affiliation,0.004599941,K23563,LIWC
K23565,Affiliation,0.003748687,K23565,LIWC
KTFG534,Affiliation,0.00077009,KTFG534,LIWC
KTGF118,Affiliation,0.001446288,KTGF118,LIWC
KTGF120,Affiliation,0.00135537,KTGF120,LIWC
KTGF122,Affiliation,0.000814576,KTGF122,LIWC
KTGF124,Affiliation,0.007112149,KTGF124,LIWC
KTGF136,Affiliation,0.011665747,KTGF136,LIWC
KTGF138,Affiliation,1.76E-05,KTGF138,LIWC
KTGF142,Affiliation,0.00080101,KTGF142,LIWC
KTGF143,Affiliation,0,KTGF143,LIWC
KTGF146,Affiliation,0.006097371,KTGF146,LIWC
KTGF147,Affiliation,0.000257895,KTGF147,LIWC
KTGF154,Affiliation,0.001101804,KTGF154,LIWC
KTGF156,Affiliation,0.00045125,KTGF156,LIWC
KTGF158,Affiliation,1.69E-06,KTGF158,LIWC
KTGF527,Affiliation,0.005018706,KTGF527,LIWC
KTGF528,Affiliation,0.003310342,KTGF528,LIWC
KTGF533,Affiliation,0.002881879,KTGF533,LIWC
KTGF540,Affiliation,0.000261111,KTGF540,LIWC
KTGF544,Affiliation,0.003849826,KTGF544,LIWC
KTGF549,Affiliation,0.003728667,KTGF549,LIWC
KTGF550,Affiliation,0.012252714,KTGF550,LIWC
KTGF556,Affiliation,0.002934885,KTGF556,LIWC
KTGF557,Affiliation,0.001644307,KTGF557,LIWC
KTGF561,Affiliation,0.002103697,KTGF561,LIWC
KTGF562,Affiliation,0.006058333,KTGF562,LIWC
KTGF565,Affiliation,0.002400899,KTGF565,LIWC
KTGF572,Affiliation,0.006184067,KTGF572,LIWC
K23106,allnone,1.54E-06,K23106,LIWC
K23114,allnone,0.005482991,K23114,LIWC
K23125,allnone,0.000679616,K23125,LIWC
K23134,allnone,0,K23134,LIWC
K23139,allnone,0.000516826,K23139,LIWC
K23153,allnone,0.003353593,K23153,LIWC
K23155,allnone,0.002276264,K23155,LIWC
K23502,allnone,0.001020009,K23502,LIWC
K23510,allnone,0.006216913,K23510,LIWC
K23517,allnone,0.00339757,K23517,LIWC
K23537,allnone,0.001472275,K23537,LIWC
K23540,allnone,0.001094484,K23540,LIWC
K23541,allnone,0.00031344,K23541,LIWC
K23548,allnone,0.007109185,K23548,LIWC
K23551,allnone,0.005790186,K23551,LIWC
K23557,allnone,0.003534029,K23557,LIWC
K23563,allnone,0.00182077,K23563,LIWC
KTFG534,allnone,0.009042619,KTFG534,LIWC
KTGF126,allnone,0.003664864,KTGF126,LIWC
KTGF129,allnone,0.009751688,KTGF129,LIWC
KTGF130,allnone,0.002681213,KTGF130,LIWC
KTGF138,allnone,0.002833588,KTGF138,LIWC
KTGF142,allnone,0.000164,KTGF142,LIWC
KTGF146,allnone,0.004232943,KTGF146,LIWC
KTGF527,allnone,0.006590786,KTGF527,LIWC
KTGF528,allnone,0.000434872,KTGF528,LIWC
K23101,AllPunc,0.004135718,K23101,LIWC
K23115,AllPunc,0.005914638,K23115,LIWC
K23121,AllPunc,0.001766543,K23121,LIWC
K23125,AllPunc,0.001940922,K23125,LIWC
K23126,AllPunc,0.016534767,K23126,LIWC
K23128,AllPunc,0.010234772,K23128,LIWC
K23129,AllPunc,0.000510574,K23129,LIWC
K23133,AllPunc,0.003207056,K23133,LIWC
K23134,AllPunc,3.12E-05,K23134,LIWC
K23144,AllPunc,0.001129534,K23144,LIWC
K23145,AllPunc,0.007569395,K23145,LIWC
K23148,AllPunc,0.004179382,K23148,LIWC
K23151,AllPunc,0.006845282,K23151,LIWC
K23155,AllPunc,0.000925953,K23155,LIWC
K23503,AllPunc,0.0057557,K23503,LIWC
K23509,AllPunc,0.000747652,K23509,LIWC
K23510,AllPunc,0.00388162,K23510,LIWC
K23517,AllPunc,0.004937446,K23517,LIWC
K23521,AllPunc,0.005019633,K23521,LIWC
K23526,AllPunc,0.001258937,K23526,LIWC
K23529,AllPunc,0.002108833,K23529,LIWC
K23532,AllPunc,0.001216368,K23532,LIWC
K23537,AllPunc,0.005345268,K23537,LIWC
K23548,AllPunc,0.009945598,K23548,LIWC
K23551,AllPunc,0.002157285,K23551,LIWC
K23552,AllPunc,0.003802522,K23552,LIWC
K23555,AllPunc,0.002834032,K23555,LIWC
K23556,AllPunc,0.002789897,K23556,LIWC
K23557,AllPunc,0.009199,K23557,LIWC
K23563,AllPunc,0.007263348,K23563,LIWC
KTFG534,AllPunc,0.006366036,KTFG534,LIWC
KTGF118,AllPunc,0.001457486,KTGF118,LIWC
KTGF120,AllPunc,0.000639662,KTGF120,LIWC
KTGF122,AllPunc,0.0005735,KTGF122,LIWC
KTGF124,AllPunc,0.006332135,KTGF124,LIWC
KTGF142,AllPunc,0.000828364,KTGF142,LIWC
KTGF143,AllPunc,4.44E-06,KTGF143,LIWC
KTGF146,AllPunc,0.002076579,KTGF146,LIWC
KTGF147,AllPunc,0.000877789,KTGF147,LIWC
KTGF150,AllPunc,2.56E-05,KTGF150,LIWC
KTGF156,AllPunc,5.92E-05,KTGF156,LIWC
KTGF157,AllPunc,0.000873231,KTGF157,LIWC
KTGF158,AllPunc,2.82E-06,KTGF158,LIWC
KTGF527,AllPunc,0.008879817,KTGF527,LIWC
KTGF528,AllPunc,0.013645128,KTGF528,LIWC
KTGF533,AllPunc,0.003713229,KTGF533,LIWC
KTGF540,AllPunc,0.000373333,KTGF540,LIWC
KTGF544,AllPunc,0.004543944,KTGF544,LIWC
KTGF545,AllPunc,0.004380642,KTGF545,LIWC
KTGF549,AllPunc,0.005468222,KTGF549,LIWC
KTGF553,AllPunc,0.006916459,KTGF553,LIWC
KTGF556,AllPunc,0.004119635,KTGF556,LIWC
KTGF557,AllPunc,0.001358833,KTGF557,LIWC
KTGF561,AllPunc,0.000531545,KTGF561,LIWC
KTGF565,AllPunc,0.008592667,KTGF565,LIWC
KTGF572,AllPunc,0.006850034,KTGF572,LIWC
K23101,Affiliation,0.004016393,K23101,LIWC
K23106,Affiliation,7.69E-07,K23106,LIWC
K23107,Affiliation,0.006264622,K23107,LIWC
K23109,Affiliation,0.001383385,K23109,LIWC
K23115,Affiliation,0.005065005,K23115,LIWC
K23117,Affiliation,0.004292678,K23117,LIWC
K23120,Affiliation,0.002230829,K23120,LIWC
K23121,Affiliation,0.002735309,K23121,LIWC
K23125,Affiliation,0.001987406,K23125,LIWC
K23126,Affiliation,0.010758374,K23126,LIWC
K23128,Affiliation,0.006406797,K23128,LIWC
K23129,Affiliation,0.002112123,K23129,LIWC
K23131,Affiliation,0.003161954,K23131,LIWC
K23133,Affiliation,0.004168037,K23133,LIWC
K23134,Affiliation,0.001217561,K23134,LIWC
K23139,Affiliation,8.60E-05,K23139,LIWC
K23144,Affiliation,0.002368005,K23144,LIWC
K23145,Affiliation,0.008567543,K23145,LIWC
K23148,Affiliation,0.00294863,K23148,LIWC
K23150,Affiliation,0.00428081,K23150,LIWC
K23151,Affiliation,0.003081966,K23151,LIWC
K23153,Affiliation,0.009889959,K23153,LIWC
K23155,Affiliation,0.003790589,K23155,LIWC
K23156,Affiliation,0.001387409,K23156,LIWC
K23502,Affiliation,0.002222142,K23502,LIWC
K23503,Affiliation,0.009171224,K23503,LIWC
K23507,Affiliation,0.000732329,K23507,LIWC
K23508,Affiliation,0.001915585,K23508,LIWC
K23509,Affiliation,0.003411629,K23509,LIWC
K23510,Affiliation,0.011763593,K23510,LIWC
K23517,Affiliation,0.009850363,K23517,LIWC
K23521,Affiliation,0.009722204,K23521,LIWC
K23526,Affiliation,0.045710579,K23526,LIWC
K23529,Affiliation,0.003253333,K23529,LIWC
K23531,Affiliation,0.000918323,K23531,LIWC
K23532,Affiliation,0.002563908,K23532,LIWC
K23533,Affiliation,0.009462315,K23533,LIWC
K23537,Affiliation,0.002840543,K23537,LIWC
K23540,Affiliation,0.002013673,K23540,LIWC
K23541,Affiliation,0.0044976,K23541,LIWC
K23548,Affiliation,0.006016138,K23548,LIWC
K23551,Affiliation,0.014343926,K23551,LIWC
