"","Participant","Time","NA_Ratings","Nervous","Predicted_Estimates"
"334","K23109",57,1,1,0.642233333333333
"335","K23109",58,0,0,0.171
"336","K23109",59,0,0,0.113366666666667
"337","K23109",60,0,0,0.0381333333333333
"338","K23109",61,0,0,0.106466666666667
"339","K23109",62,0,0,0.0718
"340","K23109",63,0,0,0.0574666666666666
"341","K23109",64,0,0,0.3994
"342","K23109",65,1,1,0.159766666666667
"343","K23109",66,0,0,0.5857
"344","K23109",67,1,1,0.287866666666667
"345","K23109",68,1,1,1.057
"346","K23109",69,0,0,0.298533333333333
"347","K23109",70,0,0,0.1363
"348","K23109",71,1,1,0.104433333333333
"349","K23109",72,1,1,0.0439999999999999
"350","K23109",73,3,3,0.357466666666667
"351","K23109",74,0,0,0.237733333333333
"352","K23109",75,0,0,0.205466666666667
"353","K23109",76,0,0,0.459666666666667
"354","K23109",77,0,0,0.2347
"355","K23109",78,0,0,0.334133333333333
"356","K23109",79,0,0,0.0749
"357","K23109",80,0,0,0.422666666666667
"358","K23109",81,0,0,0.188933333333333
"359","K23109",82,0,0,0.1351
"360","K23109",83,0,0,0.547833333333333
"361","K23109",84,0,0,0.3135
"362","K23109",85,0,0,0.0751666666666667
"363","K23109",86,0,0,0.1668
"364","K23109",87,0,0,0.0238666666666666
"365","K23109",88,0,0,0.533933333333333
"366","K23109",89,0,0,0.0959
"367","K23109",90,0,0,0.183666666666667
"368","K23109",91,0,0,0.0650666666666667
"369","K23114",1,2,2,1.2217
"370","K23114",2,2,2,0.849466666666667
"371","K23114",3,3,3,1.08616666666667
"372","K23114",4,2,2,0.771433333333333
"373","K23114",5,1,1,0.8876
"374","K23114",6,1,1,1.07936666666667
"375","K23114",7,3,3,1.57186666666667
"376","K23114",9,0,0,0.9973
"377","K23114",10,2,2,0.815233333333333
"378","K23114",11,2,2,2.0386
"379","K23114",13,1,1,1.4511
"380","K23114",14,1,1,0.6942
"381","K23114",15,4,4,2.26596666666667
"382","K23114",16,0,0,1.2833
"383","K23114",17,0,0,0.8304
"384","K23114",18,2,2,0.6814
"385","K23114",19,2,2,3.16863333333333
"386","K23114",20,4,4,2.82266666666666
"387","K23114",21,2,2,3.09566666666667
"388","K23114",22,3,3,3.06003333333333
"389","K23114",23,3,3,2.72753333333333
"390","K23114",24,4,4,3.01806666666667
"391","K23114",25,2,2,2.48186666666667
"392","K23114",26,2,2,1.33486666666667
"393","K23114",27,2,2,2.2295
"394","K23114",28,1,1,1.06193333333333
"395","K23114",29,2,2,1.03713333333333
"396","K23114",30,0,0,0.8326
"397","K23114",31,2,2,0.824266666666667
"398","K23114",32,3,3,0.939766666666666
"399","K23114",33,2,2,2.0521
"400","K23114",34,1,1,1.01943333333333
"401","K23114",35,1,1,0.6864
"402","K23114",36,2,2,0.7308
"403","K23114",38,0,0,0.708133333333333
"404","K23114",42,1,1,0.970666666666667
"405","K23114",43,0,0,0.802433333333334
"406","K23115",1,3,3,1.5354
"407","K23115",2,3,3,1.04153333333333
"408","K23115",3,1,1,1.3021
"409","K23115",4,0,0,1.1752
"410","K23115",5,1,1,1.33156666666667
"411","K23115",6,0,0,1.22036666666667
"412","K23115",7,1,1,1.01563333333333
"413","K23115",8,1,1,0.9168
"414","K23115",9,1,1,1.36653333333333
"415","K23115",10,1,1,1.14703333333333
"416","K23115",11,2,2,1.18476666666667
"417","K23115",12,2,2,0.9706
"418","K23115",13,1,1,0.691266666666667
"419","K23115",14,1,1,0.663566666666667
"420","K23115",15,1,1,0.919266666666667
"421","K23115",16,0,0,1.22546666666667
"422","K23115",17,1,1,1.24236666666667
"423","K23115",18,1,1,1.02196666666667
"424","K23115",19,1,1,0.943433333333333
"425","K23115",20,1,1,0.8632
"426","K23115",21,0,0,0.801233333333334
"427","K23115",22,0,0,0.923033333333333
"428","K23115",23,1,1,0.706233333333333
"429","K23115",24,0,0,1.00703333333333
"430","K23115",25,2,2,0.9703
"431","K23115",26,4,4,1.1913
"432","K23115",27,1,1,0.680733333333333
"433","K23115",28,2,2,1.01086666666667
"434","K23115",29,3,3,0.971466666666666
"435","K23115",30,2,2,1.0822
"436","K23115",31,1,1,0.999866666666667
"437","K23115",32,0,0,0.9232
"438","K23115",33,1,1,1.05936666666667
"439","K23115",34,0,0,1.05536666666667
"440","K23115",35,1,1,0.898633333333333
"441","K23115",36,1,1,0.826566666666667
"442","K23115",37,3,3,1.14916666666667
"443","K23115",38,1,1,1.30746666666667
"444","K23115",39,1,1,0.996366666666667
"445","K23115",40,1,1,0.782333333333333
"446","K23115",41,1,1,1.52473333333333
"447","K23115",42,2,2,0.9636
"448","K23115",43,0,0,1.0857
"449","K23115",44,2,2,1.66386666666667
"450","K23115",45,1,1,1.23336666666667
"451","K23115",46,1,1,1.2066
"452","K23115",47,1,1,0.754666666666667
"453","K23115",48,1,1,0.9423
"454","K23115",49,1,1,0.6083
"455","K23115",50,1,1,0.970033333333333
"456","K23115",51,1,1,0.925866666666666
"457","K23115",52,1,1,0.668333333333333
"458","K23115",53,1,1,0.926033333333333
"459","K23115",54,2,2,1.25343333333333
"460","K23115",55,2,2,1.40333333333333
"461","K23115",56,2,2,1.07433333333333
"462","K23115",57,1,1,1.07193333333333
"463","K23115",58,1,1,0.9977
"464","K23115",59,1,1,1.0907
"465","K23115",60,1,1,1.22326666666667
"466","K23115",61,2,2,1.20463333333333
"467","K23115",62,0,0,1.00083333333333
"468","K23115",63,2,2,0.9105
"469","K23115",64,3,3,1.34096666666667
"470","K23115",65,2,2,1.16753333333333
"471","K23115",66,3,3,1.46533333333333
"472","K23115",67,1,1,1.2887
"473","K23117",1,4,4,1.51913333333333
"474","K23117",2,4,4,0.851533333333333
"475","K23117",3,3,3,1.47793333333333
"476","K23117",4,2,2,1.35673333333333
"477","K23117",5,2,2,0.711033333333333
"478","K23117",6,0,0,1.28006666666667
"479","K23117",7,0,0,0.902633333333333
"480","K23117",8,1,1,0.7592
"481","K23117",9,3,3,0.667633333333333
"482","K23117",10,3,3,1.2089
"483","K23117",11,2,2,0.540566666666667
"484","K23117",12,0,0,0.9837
"485","K23117",13,0,0,0.991833333333333
"486","K23117",14,0,0,0.7582
"487","K23117",15,0,0,0.403166666666667
"488","K23117",16,0,0,0.766066666666667
"489","K23117",17,0,0,0.6367
"490","K23117",18,4,4,0.6871
"491","K23117",19,2,2,0.6509
"492","K23117",20,0,0,0.416233333333333
"493","K23117",21,0,0,0.5071
"494","K23117",22,0,0,0.4317
"495","K23117",23,0,0,0.522266666666666
"496","K23117",24,2,2,0.656233333333333
"497","K23117",25,2,2,0.6782
"498","K23117",26,0,0,0.459733333333333
"499","K23117",27,4,4,1.1852
"500","K23117",28,0,0,0.399366666666667
"501","K23117",29,0,0,1.1339
"502","K23117",30,0,0,0.912533333333333
"503","K23117",31,0,0,0.967933333333333
"504","K23117",32,0,0,0.597966666666667
"505","K23117",33,0,0,0.644666666666666
"506","K23117",34,0,0,0.695866666666667
"507","K23117",35,0,0,0.8399
"508","K23117",36,1,1,0.702433333333333
"509","K23117",37,0,0,0.8807
"510","K23117",38,0,0,0.856566666666667
"511","K23117",39,1,1,0.6369
"512","K23117",40,0,0,0.7657
"513","K23117",42,1,1,0.424266666666667
"514","K23117",43,1,1,0.9809
"515","K23117",44,2,2,1.18716666666667
"516","K23117",45,1,1,1.0794
"517","K23117",46,0,0,0.967633333333333
"518","K23117",47,0,0,0.831233333333333
"519","K23117",48,0,0,1.14936666666667
"520","K23117",49,0,0,0.844366666666667
"521","K23117",50,1,1,0.841033333333333
"522","K23117",51,1,1,0.6834
"523","K23117",52,2,2,1.1001
"524","K23117",53,2,2,0.720766666666667
"525","K23117",54,2,2,0.5658
"526","K23117",56,2,2,0.358166666666667
"527","K23117",57,2,2,0.577233333333333
"528","K23117",58,0,0,0.899933333333333
"529","K23117",59,1,1,0.927266666666667
"530","K23117",60,2,2,0.7948
"531","K23117",61,0,0,0.677466666666667
"532","K23117",62,0,0,0.8204
"533","K23117",63,0,0,1.18003333333333
"534","K23117",64,1,1,0.805733333333333
"535","K23117",65,1,1,0.879766666666667
"536","K23117",66,1,1,1.00246666666667
"537","K23117",67,0,0,0.912533333333333
"538","K23117",68,3,3,1.10883333333333
"539","K23117",69,2,2,0.686833333333334
"540","K23117",70,3,3,1.10546666666667
"541","K23117",71,1,1,1.1414
"542","K23117",72,0,0,1
"543","K23117",73,2,2,1.1359
"544","K23117",74,2,2,0.598066666666667
"545","K23117",75,1,1,1.74656666666667
"546","K23117",76,2,2,0.862566666666667
"547","K23117",77,1,1,0.8751
"548","K23117",78,2,2,0.841933333333334
"549","K23117",79,0,0,1.25813333333333
"550","K23117",80,1,1,0.6848
"551","K23117",81,1,1,0.979866666666667
"552","K23117",82,2,2,0.668433333333333
"553","K23117",83,1,1,1.06183333333333
"554","K23117",84,1,1,1.1186
"555","K23117",85,0,0,1.22013333333333
"556","K23117",86,0,0,0.796333333333333
"557","K23117",88,1,1,0.873866666666666
"558","K23117",89,0,0,1.0258
"559","K23117",90,2,2,1.0588
"560","K23117",91,1,1,0.706833333333333
"561","K23117",92,0,0,0.870366666666667
"562","K23117",93,0,0,0.8853
"563","K23120",1,0,0,0.672866666666667
"564","K23120",2,0,0,0.280633333333333
"565","K23120",3,0,0,0.484233333333333
"566","K23120",4,0,0,0.553166666666667
"567","K23120",5,0,0,0.467866666666667
"568","K23120",7,1,1,0.3722
"569","K23120",8,0,0,0.5236
"570","K23120",9,0,0,1.28526666666667
"571","K23120",10,0,0,0.897066666666666
"572","K23120",11,0,0,0.608633333333333
"573","K23120",12,1,1,0.908733333333333
"574","K23120",13,0,0,0.2651
"575","K23120",14,0,0,0.389866666666667
"576","K23120",15,0,0,0.422333333333333
"577","K23120",16,0,0,0.782866666666667
"578","K23120",17,0,0,0.3974
"579","K23120",18,0,0,0.562233333333333
"580","K23120",19,0,0,1.03756666666667
"581","K23120",20,0,0,0.346933333333333
"582","K23120",21,0,0,0.0964333333333333
"583","K23120",22,0,0,0.553233333333334
"584","K23120",23,0,0,0.543133333333333
"585","K23120",24,0,0,0.4844
"586","K23120",25,0,0,0.391566666666667
"587","K23120",26,0,0,0.114666666666667
"588","K23120",27,0,0,0.201033333333333
"589","K23120",28,0,0,0.185533333333333
"590","K23120",29,0,0,0.565933333333333
"591","K23120",30,0,0,0.270366666666667
"592","K23120",31,0,0,0.240466666666667
"593","K23120",32,0,0,0.840133333333333
"594","K23120",33,0,0,0.267766666666667
"595","K23120",34,0,0,0.241233333333333
"596","K23120",35,0,0,0.215666666666667
"597","K23120",36,1,1,0.724066666666667
"598","K23120",37,0,0,0.3128
"599","K23120",38,1,1,0.5538
"600","K23120",39,0,0,0.347833333333333
"601","K23120",40,0,0,0.3696
"602","K23120",41,0,0,0.9732
"603","K23120",42,0,0,0.567666666666667
"604","K23120",43,0,0,0.429033333333333
"605","K23120",44,0,0,0.4103
"606","K23120",45,0,0,0.355766666666667
"607","K23120",46,0,0,0.4508
"608","K23120",47,0,0,0.450333333333333
"609","K23120",48,0,0,0.702
"610","K23120",49,0,0,0.371433333333333
"611","K23120",50,0,0,1.17836666666667
"612","K23120",52,0,0,0.7451
"613","K23120",53,1,1,0.3446
"614","K23120",54,0,0,0.2977
"615","K23120",55,1,1,0.833633333333333
"616","K23120",56,1,1,0.688133333333333
"617","K23120",57,0,0,0.994933333333333
